Rep,Step set size,Group size,Random group score,Super group score
0,1,1,0.0,1.0
0,1,2,0.011723776223776223,1.0
0,1,3,0.010660839160839162,1.0
0,1,4,1.0,1.0
0,1,5,1.0,1.0
0,1,6,1.0,1.0
0,1,7,1.0,1.0
0,1,8,1.0,1.0
0,1,9,1.0,1.0
0,1,10,1.0,1.0
0,1,11,1.0,1.0
0,1,12,1.0,1.0
0,1,13,1.0,1.0
0,1,14,1.0,1.0
0,1,15,1.0,1.0
0,2,1,0.0,1.0
0,2,2,0.011135445848953516,1.0
0,2,3,0.014397185680515517,1.0
0,2,4,0.014803572360840057,1.0
0,2,5,0.016794048551316245,1.0
0,2,6,0.01640206880626458,1.0
0,2,7,0.013200397757665452,1.0
0,2,8,1.0,1.0
0,2,9,1.0,1.0
0,2,10,1.0,1.0
0,2,11,1.0,1.0
0,2,12,1.0,1.0
0,2,13,1.0,1.0
0,2,14,1.0,1.0
0,2,15,1.0,1.0
0,3,1,0.0,0.0
0,3,2,0.03286078081733775,0.8008770887166236
0,3,3,0.03520205065860759,0.8008770887166236
0,3,4,1.0,0.8008770887166236
0,3,5,1.0,0.8008770887166236
0,3,6,1.0,0.7011687553832904
0,3,7,1.0,0.701095078134613
0,3,8,1.0,0.800747459086994
0,3,9,1.0,0.9004259259259259
0,3,10,1.0,0.8007175925925927
0,3,11,1.0,0.8008076442721791
0,3,12,1.0,1.0
0,3,13,1.0,0.9004259259259259
0,3,14,1.0,1.0
0,3,15,1.0,0.9004259259259259
0,4,1,0.0,0.0
0,4,2,0.009565129600707881,0.020008809191088946
0,4,3,0.025189231323548784,0.6013995987724213
0,4,4,0.025189231323548784,0.601193015324792
0,4,5,1.0,0.8007498271784611
0,4,6,1.0,0.7010113246273956
0,4,7,1.0,0.5016984758600013
0,4,8,1.0,0.8007941318856115
0,4,9,1.0,0.6012297990249922
0,4,10,1.0,0.7010804566719363
0,4,11,1.0,0.6012797309648927
0,4,12,1.0,0.9002863247863248
0,4,13,1.0,0.7011006533423104
0,4,14,1.0,0.7011013771740283
0,4,15,1.0,0.9003586497890297
0,5,1,0.0,0.0
0,5,2,0.01761916628564081,0.03463366874910646
0,5,3,0.01625213304877767,0.036885842662149934
0,5,4,0.026888876408036916,0.04059611756953929
0,5,5,0.02645969185868069,0.028053779539828634
0,5,6,0.030751537352242925,0.03549665934397134
0,5,7,0.02645969185868069,0.026251563958464987
0,5,8,0.030751537352242925,0.03952880468445241
0,5,9,0.026888876408036916,0.03513182671603751
0,5,10,0.026888876408036916,0.041770957150820125
0,5,11,0.026888876408036916,0.0435506656709995
0,5,12,1.0,0.03952880468445241
0,5,13,1.0,0.03785791367255926
0,5,14,1.0,0.035615761206191546
0,5,15,1.0,0.03373680776255937
0,6,1,0.0,0.0
0,6,2,0.012695641288820636,0.022287112679589268
0,6,3,0.012695641288820636,0.03822732487346492
0,6,4,0.012351015227273747,0.03822732487346492
0,6,5,0.013209384325986192,0.03367402154168474
0,6,6,0.015354683471285338,0.039448489626791115
0,6,7,0.01967808772660449,0.03779328232027343
0,6,8,0.023515180229572254,0.03905338415697101
0,6,9,0.022656811130859805,0.03926136742665641
0,6,10,0.024373549328284696,0.0403245580028595
0,6,11,0.023515180229572254,0.047163495086230876
0,6,12,1.0,0.047163495086230876
0,6,13,1.0,0.03735434523690205
0,6,14,1.0,0.0403245580028595
0,6,15,1.0,0.04289966529899684
1,1,1,0.0,1.0
1,1,2,0.008576923076923077,1.0
1,1,3,0.7015054945054946,1.0
1,1,4,0.9005054945054944,1.0
1,1,5,0.9005054945054944,1.0
1,1,6,1.0,1.0
1,1,7,0.9005054945054944,1.0
1,1,8,0.9005054945054944,1.0
1,1,9,0.7015109890109891,1.0
1,1,10,0.801010989010989,1.0
1,1,11,0.9004999999999999,1.0
1,1,12,1.0,1.0
1,1,13,1.0,1.0
1,1,14,1.0,1.0
1,1,15,1.0,1.0
1,2,1,0.0,1.0
1,2,2,0.00859024688522378,1.0
1,2,3,0.01426627563958135,1.0
1,2,4,0.016563523968272747,1.0
1,2,5,0.016538671598766236,1.0
1,2,6,0.014417363006200595,1.0
1,2,7,1.0,1.0
1,2,8,1.0,1.0
1,2,9,1.0,1.0
1,2,10,1.0,1.0
1,2,11,1.0,1.0
1,2,12,1.0,1.0
1,2,13,1.0,1.0
1,2,14,1.0,1.0
1,2,15,1.0,1.0
1,3,1,0.0,0.0
1,3,2,0.015192542050107144,0.9003469387755102
1,3,3,0.01685310508955217,1.0
1,3,4,0.9003686274509803,0.8007155662264905
1,3,5,1.0,0.7010592746980576
1,3,6,1.0,0.6013795006527201
1,3,7,1.0,0.9003360655737704
1,3,8,1.0,0.7011026862711133
1,3,9,0.9003686274509803,0.9003401639344262
1,3,10,1.0,0.6014429361480872
1,3,11,0.9003686274509803,0.7010990274370618
1,3,12,1.0,0.9003686274509803
1,3,13,0.9003686274509803,0.9003686274509803
1,3,14,1.0,0.9003686274509803
1,3,15,1.0,1.0
1,4,1,0.0,0.0
1,4,2,0.01545685161911629,0.021669890299180206
1,4,3,0.02052222692177973,1.0
1,4,4,0.01814750947221569,0.9003417721518987
1,4,5,1.0,0.9003417721518987
1,4,6,1.0,1.0
1,4,7,1.0,0.9003991416309013
1,4,8,1.0,1.0
1,4,9,1.0,1.0
1,4,10,1.0,1.0
1,4,11,1.0,1.0
1,4,12,1.0,0.9003991416309013
1,4,13,1.0,1.0
1,4,14,1.0,1.0
1,4,15,1.0,1.0
1,5,1,0.0,0.0
1,5,2,0.01649155238691559,0.01794578044565028
1,5,3,0.0201303397010044,1.0
1,5,4,1.0,1.0
1,5,5,1.0,0.9003651452282158
1,5,6,1.0,1.0
1,5,7,1.0,1.0
1,5,8,1.0,1.0
1,5,9,1.0,0.9002821576763486
1,5,10,1.0,1.0
1,5,11,1.0,1.0
1,5,12,1.0,0.9002821576763486
1,5,13,1.0,1.0
1,5,14,1.0,0.800654542613587
1,5,15,1.0,1.0
1,6,1,0.0,0.0
1,6,2,0.012450402089066854,0.015525718544763057
1,6,3,0.01559055829698498,0.01761973563878015
1,6,4,0.01559055829698498,0.02058819144294654
1,6,5,0.01390279458390481,0.02058819144294654
1,6,6,0.014764542174375806,0.03462298386993412
1,6,7,0.03845277110397668,0.03462298386993412
1,6,8,0.04519461507560788,0.03462298386993412
1,6,9,0.04186128174227455,0.03845277110397668
1,6,10,0.03845277110397668,0.9004212765957448
1,6,11,0.04519461507560788,0.9004212765957448
1,6,12,0.04186128174227455,1.0
1,6,13,0.03629243355123406,1.0
1,6,14,0.04186128174227455,1.0
1,6,15,0.04186128174227455,1.0
2,1,1,0.0,1.0
2,1,2,0.008543956043956046,1.0
2,1,3,0.009763736263736266,1.0
2,1,4,0.009214285714285715,1.0
2,1,5,0.009021978021978024,1.0
2,1,6,1.0,1.0
2,1,7,1.0,1.0
2,1,8,1.0,1.0
2,1,9,1.0,1.0
2,1,10,0.9005439560439561,1.0
2,1,11,1.0,1.0
2,1,12,1.0,1.0
2,1,13,1.0,1.0
2,1,14,1.0,1.0
2,1,15,1.0,1.0
2,2,1,0.0,1.0
2,2,2,0.5018469738131219,1.0
2,2,3,0.7010892834582364,1.0
2,2,4,0.7010964963433904,1.0
2,2,5,1.0,1.0
2,2,6,0.9003655462184874,1.0
2,2,7,1.0,0.9004083333333334
2,2,8,1.0,1.0
2,2,9,1.0,1.0
2,2,10,1.0,1.0
2,2,11,1.0,1.0
2,2,12,1.0,1.0
2,2,13,1.0,1.0
2,2,14,1.0,1.0
2,2,15,1.0,1.0
2,3,1,0.0,0.0
2,3,2,0.012761363864716841,0.9003677685950413
2,3,3,0.8006997844053181,0.9003677685950413
2,3,4,0.9003677685950413,0.9003677685950413
2,3,5,0.9003677685950413,1.0
2,3,6,1.0,0.9003140495867769
2,3,7,1.0,0.9001304347826087
2,3,8,1.0,0.8005867768595042
2,3,9,1.0,1.0
2,3,10,1.0,1.0
2,3,11,0.9003677685950413,1.0
2,3,12,1.0,1.0
2,3,13,1.0,1.0
2,3,14,1.0,1.0
2,3,15,1.0,1.0
2,4,1,0.0,0.0
2,4,2,0.008236891768682773,0.02512723993039508
2,4,3,0.014380225997363294,0.01875849536510113
2,4,4,0.013983091368639566,0.02512192009754391
2,4,5,0.02879270119686888,0.02758093649098653
2,4,6,0.02354312156617917,0.02554937107793607
2,4,7,0.025609981096876695,0.027142996575944035
2,4,8,0.028008387471378682,0.8006941176470589
2,4,9,0.02957701492235908,1.0
2,4,10,0.030361328647849274,0.9003568627450982
2,4,11,1.0,1.0
2,4,12,1.0,1.0
2,4,13,1.0,0.9003568627450982
2,4,14,1.0,1.0
2,4,15,1.0,0.9003568627450982
2,5,1,0.0,0.0
2,5,2,0.005965281326483368,0.022524916355472692
2,5,3,0.013372236814580057,0.02376291359777912
2,5,4,0.016450366251311334,0.022260812539585218
2,5,5,0.019441819242764325,0.024808694073400694
2,5,6,0.017726961995992184,0.9003636363636364
2,5,7,0.018614868415813498,0.8007602608362102
2,5,8,0.018614868415813498,0.9003636363636364
2,5,9,0.02160632140726649,0.9003636363636364
2,5,10,0.018614868415813498,1.0
2,5,11,0.02160632140726649,1.0
2,5,12,0.019891464160494348,0.9003966244725738
2,5,13,0.016450366251311334,0.9003636363636364
2,5,14,0.016450366251311334,1.0
2,5,15,0.016450366251311334,1.0
2,6,1,0.0,0.0
2,6,2,0.015196070561441843,0.02780139262647382
2,6,3,0.019157664603108443,0.03496093549896853
2,6,4,0.023732330696112768,0.03496093549896853
2,6,5,0.04461708245504516,0.02941477472101195
2,6,6,0.04690279674075944,0.03721930246321785
2,6,7,1.0,0.034010485048518085
2,6,8,1.0,0.03767586762566537
2,6,9,1.0,0.040684850428765816
2,6,10,1.0,0.03895546719938259
2,6,11,1.0,0.047563575307490696
2,6,12,1.0,0.047113124857040244
2,6,13,1.0,0.04847059092038866
2,6,14,1.0,0.03715366539758079
2,6,15,1.0,0.047113124857040244
3,1,1,0.0,1.0
3,1,2,0.008038922155688622,1.0
3,1,3,0.008637724550898205,1.0
3,1,4,1.0,1.0
3,1,5,1.0,1.0
3,1,6,1.0,1.0
3,1,7,1.0,1.0
3,1,8,1.0,1.0
3,1,9,1.0,1.0
3,1,10,1.0,1.0
3,1,11,1.0,1.0
3,1,12,1.0,1.0
3,1,13,1.0,1.0
3,1,14,1.0,1.0
3,1,15,1.0,1.0
3,2,1,0.0,1.0
3,2,2,0.006554688602700842,1.0
3,2,3,0.008088627746305413,1.0
3,2,4,0.01035546087390052,1.0
3,2,5,0.01672116358468024,1.0
3,2,6,1.0,1.0
3,2,7,1.0,1.0
3,2,8,1.0,1.0
3,2,9,1.0,1.0
3,2,10,1.0,1.0
3,2,11,1.0,1.0
3,2,12,1.0,1.0
3,2,13,1.0,1.0
3,2,14,1.0,1.0
3,2,15,1.0,1.0
3,3,1,0.0,1.0
3,3,2,0.013208198513296816,1.0
3,3,3,0.01465850421305583,1.0
3,3,4,0.01246480636638606,1.0
3,3,5,0.01691933384316441,1.0
3,3,6,0.022110087800099515,1.0
3,3,7,0.9003653136531365,1.0
3,3,8,1.0,1.0
3,3,9,0.9003653136531365,1.0
3,3,10,1.0,1.0
3,3,11,1.0,1.0
3,3,12,0.9003653136531365,1.0
3,3,13,0.9003653136531365,1.0
3,3,14,1.0,1.0
3,3,15,1.0,1.0
3,4,1,0.0,0.0
3,4,2,0.010009276017282678,0.02726087440064967
3,4,3,0.013964857090175652,0.02726087440064967
3,4,4,0.02136561707600617,0.02726087440064967
3,4,5,0.02309854234487915,0.02726087440064967
3,4,6,0.020224588192100428,0.021474866170196998
3,4,7,0.9003333333333334,0.701036037670629
3,4,8,1.0,0.9003868312757202
3,4,9,1.0,0.8007462417522617
3,4,10,1.0,0.8006818727490996
3,4,11,1.0,0.7011330730279819
3,4,12,1.0,0.8006766271940876
3,4,13,1.0,0.7010525484210176
3,4,14,1.0,0.7010820842859965
3,4,15,1.0,0.9003609958506225
3,5,1,0.0,0.0
3,5,2,0.006631667433326956,0.02641216871581551
3,5,3,0.022403059003882002,0.03077574828010069
3,5,4,0.023553780290779765,0.03077574828010069
3,5,5,0.039393951890951365,0.03176849102284343
3,5,6,0.03444629382564624,0.034083967213319626
3,5,7,0.03704157381151446,0.9004107142857143
3,5,8,0.037089893139245544,0.9004241071428571
3,5,9,0.03890978899502376,1.0
3,5,10,1.0,1.0
3,5,11,1.0,0.9004107142857143
3,5,12,1.0,0.7012468584656084
3,5,13,1.0,0.9004107142857143
3,5,14,1.0,1.0
3,5,15,1.0,0.8008227513227514
3,6,1,0.0,0.0
3,6,2,0.010847073485173792,0.024690565654651123
3,6,3,0.015463641170517878,0.013942625557330493
3,6,4,0.04655233100536828,0.016256634433463264
3,6,5,0.05965658099526848,0.024690565654651123
3,6,6,1.0,0.019219798427246727
3,6,7,1.0,0.026468343432428897
3,6,8,1.0,1.0
3,6,9,1.0,0.9004025974025975
3,6,10,1.0,0.9004234234234234
3,6,11,1.0,1.0
3,6,12,1.0,1.0
3,6,13,1.0,0.8008125073125072
3,6,14,1.0,1.0
3,6,15,1.0,0.9004234234234234
4,1,1,0.0,1.0
4,1,2,0.009737762237762237,1.0
4,1,3,0.00856993006993007,1.0
4,1,4,0.010786713286713287,1.0
4,1,5,0.00973776223776224,1.0
4,1,6,0.010786713286713287,1.0
4,1,7,0.01008741258741259,1.0
4,1,8,0.010786713286713287,1.0
4,1,9,0.011486013986013987,1.0
4,1,10,1.0,1.0
4,1,11,1.0,1.0
4,1,12,1.0,1.0
4,1,13,1.0,1.0
4,1,14,1.0,1.0
4,1,15,1.0,1.0
4,2,1,0.0,1.0
4,2,2,0.01479993775558496,1.0
4,2,3,0.011482763811173044,1.0
4,2,4,0.015233923557017151,1.0
4,2,5,0.01567625736917423,1.0
4,2,6,1.0,1.0
4,2,7,1.0,1.0
4,2,8,1.0,1.0
4,2,9,1.0,1.0
4,2,10,1.0,1.0
4,2,11,1.0,1.0
4,2,12,1.0,1.0
4,2,13,1.0,1.0
4,2,14,1.0,1.0
4,2,15,1.0,1.0
4,3,1,0.0,0.0
4,3,2,0.00702921971240539,0.9004682926829268
4,3,3,0.012161256489688101,0.9004292682926829
4,3,4,0.00855935130487638,0.8006561887532037
4,3,5,0.00914157267296475,0.8009657546118609
4,3,6,0.010673425603434353,0.5018982895582018
4,3,7,0.01727502714941161,0.800926730221617
4,3,8,0.01271434564957106,0.6016354675953542
4,3,9,0.017760000215027605,1.0
4,3,10,0.018310064910956735,0.8009752944412494
4,3,11,0.017685358057918495,1.0
4,3,12,0.016172222271362828,0.9004778325123153
4,3,13,0.019257706083175397,1.0
4,3,14,1.0,1.0
4,3,15,0.9004646464646464,1.0
4,4,1,0.0,0.0
4,4,2,0.015465264131723314,0.030629578186030258
4,4,3,0.013635511913485207,0.028045586091168594
4,4,4,0.9004241071428571,0.02306668998727249
4,4,5,0.9004241071428571,0.8007625
4,4,6,0.9003973214285714,0.6014886257763975
4,4,7,0.8007909865869426,0.9004017857142858
4,4,8,0.900393665158371,1.0
4,4,9,1.0,0.9003348214285716
4,4,10,1.0,0.8008030690537083
4,4,11,1.0,0.9004279279279279
4,4,12,1.0,1.0
4,4,13,1.0,1.0
4,4,14,1.0,1.0
4,4,15,1.0,1.0
4,5,1,0.0,0.0
4,5,2,0.012781895364312628,0.0185373809928991
4,5,3,0.02215219363305312,0.017747907308688575
4,5,4,0.039202353122686294,0.016747907308688574
4,5,5,1.0,0.01619480996355583
4,5,6,1.0,0.028505315376325353
4,5,7,1.0,0.0216098608308708
4,5,8,1.0,0.027884697748540292
4,5,9,1.0,0.027379450254805954
4,5,10,1.0,1.0
4,5,11,1.0,1.0
4,5,12,1.0,1.0
4,5,13,1.0,0.9004151785714285
4,5,14,1.0,0.9003318584070797
4,5,15,1.0,1.0
4,6,1,0.0,0.0
4,6,2,0.016121750518701544,0.029298572094521545
4,6,3,0.016578061791683994,0.023216321012270467
4,6,4,0.019195407766226868,0.023239507625865553
4,6,5,0.03564962139094423,0.026278886224621205
4,6,6,1.0,0.9004112554112554
4,6,7,1.0,0.9004112554112554
4,6,8,1.0,0.9004112554112554
4,6,9,1.0,1.0
4,6,10,1.0,1.0
4,6,11,1.0,1.0
4,6,12,1.0,0.9004112554112554
4,6,13,1.0,0.9004112554112554
4,6,14,1.0,1.0
4,6,15,1.0,1.0
5,1,1,0.0,1.0
